"EPH.2.1", "Na hom so a nkyɛ hom yɛ ewufo wɔ hom mfom nye ndzebɔn a,", "#Kol 2.13"
"EPH.2.2", "nkan no hom nantseew mu dɛ mbrɛ ɔfa wiadze yi mber ho, dɛ mbrɛ wimu tum panyin no tse, sunsum a ɔyɛ edwuma sesei wɔ hɔn a wɔyɛ asoɔdzen no mu.", ""
"EPH.2.3", "Nkyɛ hɛn nyina so tse hɔn mu bɔ hɛn bra wɔ honam akɔndɔ mu, na yɛyɛɛ dza honam nye adwen pɛ, na yɛnam hɛn awosu mu yɛɛ nkorɔfo a Nyankopɔn ebufuw wɔ hɔn do dɛ hɔn a wɔaka no so:", ""
"EPH.2.4", "naaso Nyankopɔn a n’ehumbɔbɔr dɔɔ so no, nam no dɔ kɛse a ɔdze dɔɔ hɛn", ""
"EPH.2.5", "wɔ ber a nna yɛyɛ ewufo wɔ mfom mu no, ama yɛnye Kraest enya nkwa; (adom do na wɔnam agye hom nkwa.)", ""
"EPH.2.6", "Oenyan hɛn aka no ho, na ɔama yɛnye no atsena sorsor hɔ wɔ Kraest Jesus mu;", ""
"EPH.2.7", "ama mbersantsen a ɔreba no mu oeeyi n’adom ahonya mbordo no akyerɛ, wɔ ayamuyie a ɔayɛ hɛn wɔ Kraest Jesus mu no.", ""
"EPH.2.8", "Na adom na wɔdze nam gyedzi do agye hom nkwa; na ommfi homankasa, ɔyɛ Nyankopɔn akyɛdze a:", ""
"EPH.2.9", "ommfi ndwuma mu, amma obiara aannhyehyɛ noho.", ""
"EPH.2.10", "Na yɛyɛ n’edwinsa a ɔbɔɔ hɛn Kraest Jesus mu maa ndwuma pa a Nyankopɔn siesiei too hɔ dɛ yɛnnantsew mu no.", ""
"EPH.2.11", "Dɛm ntsi hom nkaa dɛ, hom a nkyɛ nkan no hom yɛ Amanamamfo wɔ honam mu, ma hɔn a wɔfrɛ hɔnho Twatsiatwafo, mekyerɛ hɔn a wɔdze nsa ara gyan twa no honam mu no frɛ hom Monomonomfo no.", ""
"EPH.2.12", "Hom nkaa bio dɛ ber no, nna hom nnyi Kraest nkyɛn, na hom yɛ ananaben a hom mmfora Israel amamba, na hom yɛ ahɔho wɔ anohoba ahyɛmu horow no ho, nna hom nnyi enyidado, eso hom nnyi Nyankopɔn bi wɔ wiadze.", ""
"EPH.2.13", "Na afei dze, hom wɔ Kraest Jesus mu, ma Kraest bɔgya no dze hom a nkyɛ hom wɔ ekyirekyir no abɛn.", ""
"EPH.2.14", "Na ɔnoara ankasa nye hɛn asomdwee, ɔno a ɔayɛ ebien yi adze kor, na nankasa no honam nyimpadua mu oedwuruw fasu a otwa hɛn ntamu yɛ hɛn atamfo no egu famu.", ""
"EPH.2.15", "Oegu mbra no mu ahyɛdze nye nhyehyɛɛ no nyina, na ɔdze hɔn beenu nyina abɔ nyimpa fofor kor wɔ nankasa no mu, ma asomdwee aba;", ""
"EPH.2.16", "na ɔnam ne mbeamudua no do aka ebien nyina abɔ mu ayɛ nyimpadua kor ama Nyankopɔn, na ɔdze mbeamudua kor yi ara so eku nyitan nyina.", ""
"EPH.2.17", "Na ɔbae bɛkaa asomdwee ho nsɛmpa kyerɛɛ hɔn a wɔwɔ ekyir, nye hɔn a wɔbɛn:", ""
"EPH.2.18", "na ɔnam no mu na hɛn beenu nyina nam Sunsum kor mu enya kwan wɔ Egya no nkyɛn.", ""
"EPH.2.19", "Na afei hom nnyɛ ahɔho nye amamforafo bio, mbom hom yɛ ahotseweefo na kuromamfo nye Nyankopɔn fiemba;", ""
"EPH.2.20", "wɔdze hom esi asomafo nye nkɔnhyɛfo no fapem do a Kraest Jesus nankasa nye kutuwdo bo tsitsir.", ""
"EPH.2.21", "No mu na dza woesi no nyina keka si enyim a, orinyin akɛyɛ Nyankopɔn asɔrdan krɔnkrɔn wɔ Ewuradze mu.", ""
"EPH.2.22", "Ɔnoara so no mu na worisi hom so ayɛ hom Nyankopɔn ne tsenabea wɔ Sunsum mu.", ""
