"MAT.21.1", "Na wɔbɛɛn Jerusalɛm, na wodur Bɛtfage, wɔ Ngo Bepɔw no ho no, Jesus somaa esuafo beenu", ""
"MAT.21.2", "see hɔn dɛ,  Hom nkɔ ekuroba a ɔda hom enyim no mu, na ntsɛmara hom bohu asoasopɔnkɔ a wɔamontan no, nye ne ba: hom nsan hɔn na hom mfa mbrɛ me.", ""
"MAT.21.3", "Na sɛ obiara se hom biribi a, hom nse dɛ, Ewuradze wɔ hɔn ho hia, na ntsɛmara ɔbɛma wɔdze aba.", ""
"MAT.21.4", "Na wɔyɛɛ yinom ma dza nkɔnhyɛnyi no kae no aaba mu dɛ,", ""
"MAT.21.5", "Hom nse Zion babaa, Hwɛ, wo hen reba wo nkyɛn: Ɔdwe, na ɔtse asoasopɔnkɔ do, nye asoasopɔnkɔ a ɔsoa adze ne ba do.", "#Zek 9.9"
"MAT.21.6", "Na esuafo no kɔree kɛyɛɛ dɛ mbrɛ Jesus hyɛɛ hɔn no,", ""
"MAT.21.7", "na wɔdze asoasopɔnkɔ no nye ne ba no bae, na wɔdze hɔn ntar guu hɔn do, na ɔtsenaa do.", ""
"MAT.21.8", "Na nyimpadodow pii dze hɔn ntar sesɛɛw kwan no mu, na binom twitwaa ndubaa sesɛɛw kwan no mu.", ""
"MAT.21.9", "Na nyimpadodow a wodzi enyim no, na hɔn a wodzi ekyir no tseaa mu see dɛ, Hosanna, David ba no! Nhyira nye nyia ɔnam Ewuradze dzin mu reba no! Hosanna wɔ sorsor!", "#Dwom 118.25, 26"
"MAT.21.10", "Na odur Jerusalɛm no, kurow no nyina bɔɔ twitwi bisabisaa dɛ, Iyi woana a?", ""
"MAT.21.11", "Na nyimpadodow no see dɛ, Oyi nye Jesus, nkɔnhyɛnyi a ofi Nazarɛt a ɔwɔ Galilii no.", ""
"MAT.21.12", "Na Jesus kɔr Nyankopɔn asɔrfi no mu, na ɔkɛpaam hɔn a wɔtɔn nye hɔn a wɔtɔ wɔ asɔrfi no mu, na obutuuw sikasesafo hɔn apon nye hɔn a wɔtɔn mbubur no hɔn ngua;", ""
"MAT.21.13", "na ɔsee hɔn dɛ,  Wɔakyerɛw dɛ, Wɔbɛfrɛ me fi asɔryɛbea: na hom dze, hom reyɛ no edwotwafo tu.", "#Isa 56.7; Jer 7.11"
"MAT.21.14", "Na enyifurafo nye mpakye baa no hɔ wɔ asɔrfi no mu, na ɔsaa hɔn yarba.", ""
"MAT.21.15", "Na asɔfompanyin nye akyerɛwfo no hun anwanwadze a ɔyɛe no, ɔnye mbofraba a wɔretseatsea mu wɔ asɔrfi no mu dɛ, Hosanna, David ba no, wonyaa ebufuw pii,", ""
"MAT.21.16", "na wɔsee no dɛ, Etse dza yinom reka yi? Na Jesus see hɔn dɛ,  Nyew: ana hom nnkenkaan pɛn dɛ, Nkɔkowaba nye numfoanomba anomu, na ɔwo esiesie ayɛyi ama woho anaa?", "#Dwom 8.2"
"MAT.21.17", "Na ogyaa hɔn hɔ, na ofii kurow no mu kɔr Bɛtani kɛtsenaa hɔ.", ""
"MAT.21.18", "Na anapa no a ɔresan aba kurow no mu no, ɔkɔm dzee no.", ""
"MAT.21.19", "Na ohun adɔmbadua wɔ kwan no do no, ɔbaa ho naaso oennhu biribiara wɔ do dɛ ahaban nko; na ɔsee no dɛ,  Mma aba nnsow wo do dabiarada. Na amonmu hɔ ara adɔmbadua no kyenkyenee.", ""
"MAT.21.20", "Na esuafo no hunii no, ɔyɛɛ hɔn nwanwa, na wɔsee dɛ, Ɔyɛ dɛn na amonmu ha yi ara adɔmbadua yi akyenkyen yi?", ""
"MAT.21.21", "Na Jesus buae see hɔn dɛ,  Nokwar mese hom dɛ, Sɛ hom wɔ gyedzi, na hom nnyɛ ekyingye a, nkyɛ nnyɛ adɔmbadua dze yi nko na hom bɛyɛ, na mpo sɛ hom se koko yi dɛ, Tutu na kɔhwe po mu, a, nkyɛ ɔbɛyɛ.", "#Mat 17.20; 1 Kor 13.2"
"MAT.21.22", "Na biribiara a hom bebisa no mpaabɔ mu, na hom gye dzi no, hom nsa bɛka.", ""
"MAT.21.23", "Na ɔbaa asɔrfi mu, na ɔrekyerɛkyerɛ no, asɔfompanyin nye ɔman mpanyimfo no baa ne nkyɛn bebisaa no dɛ, Ebɛn tum na enam do yɛ ndzɛmba yi, na woana maa wo tum yi?", ""
"MAT.21.24", "Na Jesus buae see hɔn dɛ,  Mo so mibebisa hom asɛm kor a sɛ hom kyerɛ me ano a, mo so mebɛkyerɛ hom tum kor a medze meyɛ yinom.", ""
"MAT.21.25", "John enuma no, ofi hen? Ofi sor anaa ofi nyimpa? Na wosusui wɔ hɔn mu dɛ, Sɛ yɛka dɛ, Ofi sor, a, ɔbɛse hɛn dɛ, Ɔyɛ dɛn na hom anngye enndzi?", ""
"MAT.21.26", "Na sɛ yɛka dɛ, Ofi nyimpa, a, yesuro nyimpadodow no: osiandɛ hɔn nyina bu John nkɔnhyɛnyi.", ""
"MAT.21.27", "Na wobuaa Jesus see dɛ, Yennyim. Na no so see hɔn dɛ,  Mo so merennka tum kor a medze yɛ yinom mennkyerɛ hom.", ""
"MAT.21.28", "Hom dwen iyi ho dɛn? Nyimpa bi wɔ mba beenu; na ɔbaa nyia odzi kan no hɔ bɛsee no dɛ, Ɔba, ndɛ kɔ kɛyɛ mo wenyin ture mu edwuma.", ""
"MAT.21.29", "Na obuae see dɛ, Moronnkɔ, na n'ekyir no onuu noho na ɔkɔree.", ""
"MAT.21.30", "Na ɔbaa nyia otsia ebien no hɔ bɛsee no dɛmara. Na obuae see dɛ, Mo wura, mobɔkɔ, naaso ɔannkɔ.", ""
"MAT.21.31", "Hɔn beenu yi mu woana na ɔyɛɛ n'egya ne pɛ?  Wɔsee dɛ, Nyia odzi kan no a. Jesus see hɔn dɛ,  Meka no nokwar mu dɛ, towgyefo nye ndwaman ridzi hom enyim akɔ Nyankopɔn ahenman no mu.", ""
"MAT.21.32", "Na John nam tsenenee kwan mu baa hom nkyɛn, na hom anngye no enndzi: na towgyefo nye ndwaman gyee no dzii: na hom dze, hom hunii no hom ammfe homho ekyir dɛ hom bɛgye no edzi.", "#Luk 3.12; 7.29, 30"
"MAT.21.33", "Hom ntsie bɛ fofor so: asaasewura bi wɔ hɔ a ɔyɛɛ wenyin ture, na ɔgyee ho ban hyiae, na otuu wenyintwer, na ɔtoow abantsentsen wɔ mu, na ɔdze fɛɛm ekuafo bi, na ɔdɔɔ mu kɔr beebi.", "#Isa 5.1, 2"
"MAT.21.34", "Na eduaba no ne ber durii no, ɔsomaa no nkowaa wɔ ekuafo no nkyɛn dɛ wɔnkɛgye n'eduaba no.", ""
"MAT.21.35", "Na ekuafo no kyeer no nkowaa no, na wɔhwee bi, na wokum bi, na wosiiw bi abo.", ""
"MAT.21.36", "Bio, ɔsomaa nkowaa fofor a wɔdɔɔ so kyɛn nkan dze no; na wɔyɛɛ hɔn dɛmara.", ""
"MAT.21.37", "Na n'ekyir no, ɔsomaa ne babanyin wɔ hɔn hɔ, na ɔsee dɛ, Wɔbɛfɛr me ba.", ""
"MAT.21.38", "Naaso ekuafo no hun babanyin no, wɔsesee wɔ hɔn mu dɛ, Nyia a odzi adze no nye yi: hom mbra ma yenku no, na yɛmfa n'egyapadze no.", ""
"MAT.21.39", "Na wɔkyeer no, na wɔtoow no fii wenyin ture mu hɔ kyenee, na wokum no.", ""
"MAT.21.40", "Dɛm ntsi aber a wenyin ture no wura bɛba, ebɛnadze na ɔbɛyɛ ekuafo no?", ""
"MAT.21.41", "Wɔsee no dɛ, Ɔbɛsɛɛ nyimpa bɔn no pasaa, na ɔdze no wenyin ture no afɛm ekuafo fofor a wɔdze eduaba no bɛma no wɔ n'aber mu.", ""
"MAT.21.42", "Jesus see hɔn dɛ,  Ana hom nnkenkaan kyerɛwsɛm no mu pɛn dɛ, Ɔbo a adantofo powee no, Ɔnoara na ɔabɛyɛ kutuwdo bo; Iyi Ewuradze na ɔayɛ, Na ɔyɛ nwanwa wɔ hɛn enyiwa do?", "#Dwom 118.22, 23"
"MAT.21.43", "Dɛm ntsi mese hom dɛ, Nyankopɔn ahenman no, wɔbɛgye efi hom nsamu dze akɛma ɔman a wɔdze mu eduaba bɛba.", ""
"MAT.21.44", "Na obiara a ɔbɔhwe ɔbo yi do no obobubu, na obiara a ɔbo no bɔhwe no do no, ɔbɔdwow no dɛ isiam.", ""
"MAT.21.45", "Na asɔfompanyin nye Farisiifo no tsee ne mbɛ no, wohun dɛ ɔkaa hɔn ho asɛm.", ""
"MAT.21.46", "Na wɔhwehwɛɛ dɛ wɔkyer no no, wosuroo nyimpadodow no, osiandɛ nna wobu no nkɔnhyɛnyi.", ""
