"PRO.28.1", "Emumuyɛfo guan wɔ aber a nyimpa biara nntaa hɔn do: Na atseneneefo dze, wɔyɛ ndam dɛ ogyata.", ""
"PRO.28.2", "Asaase do mbrato ntsi na no mu ahemfo dɔɔ so: Na ɔnam nyimpa ntseaseefo na nyimdzefo do na n’ahendzi bɛkyɛr.", ""
"PRO.28.3", "Ohianyi a ɔhaw ɔbɔbɔfo no Ɔtse dɛ nsu a ɔpra adze kɔ na ɔmma edziban mmba.", ""
"PRO.28.4", "Hɔn a wɔpow mbra no woyi emumuyɛfo ayɛw: Na hɔn a wosie mbra no dze, wɔnye hɔn dzi aperper.", ""
"PRO.28.5", "Ebusuyɛfo nntse atsɛmbu ase: Na hɔn a wɔhwehwɛ EWURADZE ekyir kwan no dze, wɔtse adze nyina ase.", ""
"PRO.28.6", "Ɔbɔbɔfo a ɔnam n’emudzi mu no ye Sen nyia ɔkyea wɔ n’akwan mu, kansɛ ɔyɛ obirɛmpɔn mpo a.", ""
"PRO.28.7", "Obiara a odzi mbra do no, ɔyɛ ɔba nyansafo: Na nyia ɔnye etumfur fa nyɛnko no, ogu n’egya n’enyim ase.", ""
"PRO.28.8", "Nyia ɔdze nsiho na apempensi dɔr n’ahodze no, Ɔboaboa ano ma nyia ohu ɔbɔbɔfo mbɔbɔr.", ""
"PRO.28.9", "Nyia ɔdan n’aso fi mbra ne tsie ho no, Ne mpaabɔ mpo yɛ ekyiwadze.", ""
"PRO.28.10", "Obiara a ɔma tɔɔtsenyɛnyi tɔ kwan bɔn mu dɔnsuar no, Nankasa ɔbɔtɔ noara no mona no mu: Na hɔn a wodzi mu no dze, wobenya papa edzi.", ""
"PRO.28.11", "Ɔhonyanyi bu noara noho onyansafo; Na ɔbɔbɔfo a ɔwɔ ntseasee no, ɔhwehwɛ no mu.", ""
"PRO.28.12", "Sɛ atseneneefo dzi nyim a, enyimnyam kɛse ba: Na sɛ emumuyɛfo soɛr dze a, adasa dze hɔnho suma.", ""
"PRO.28.13", "Nyia ɔkata ne mbrato do no, ɔnnkɛyɛ prɔmprɔm: Na obiara a ɔka to gua na ɔpow no, obenya ehumbɔbɔr.", ""
"PRO.28.14", "Ahomkanyi nye nyimpa a osuro noho daa no: Na nyia opirim n’akoma no dze, ɔbɔtɔ mbusu mu.", ""
"PRO.28.15", "Mbrɛ gyata a ɔropɔw, na osisi a origyam tse no, Dɛmara so na abɔbɔfo do ɔhen tsirmɔdzennyi tse.", ""
"PRO.28.16", "Ɔhen a onnyi ntseasee no, na ɔhyɛ atseetsee kɛse so: Na nyia okyir enyiber no dze, ɔbɛma ne nda awar.", ""
"PRO.28.17", "Nyimpa a wɔdze obi no bɔgyaa asoa no no, Oboguan akɔtɔ mona mu; mma nyimpa biara nnsianka no.", ""
"PRO.28.18", "Obiara a ɔnantsew tɔɔtsen no, wɔbɛgye no nkwa, Na nyia ɔkyeakyea wɔ n’akwan mu no dze, ɔbɔhwe ase prɛko.", ""
"PRO.28.19", "Nyia ɔdɔw n’asaase no, obenya edziban pii: Na nyia odzi akwasampafo ekyir no dze, obedzi hia ara yie.", ""
"PRO.28.20", "Ɔnokwafo ne nhyira bobu do: Na nyia ɔpɛ ntsɛm yɛ ɔhonyanyi no dze, ɔnnkɛfa noho tɔtrɔtɔ.", ""
"PRO.28.21", "Nyimpa enyimhwɛ nnye: Anaaso dɛ nyimpa bɔfom wɔ edziban sin ntsi.", ""
"PRO.28.22", "Nyia ɔwɔ enyiwa bɔn no, ɔpɛ ntsɛm hwehwɛ ahonya, Naaso onnyim dɛ ohia bɛba no do.", ""
"PRO.28.23", "Nyia otwuw nyimpa enyim no, n’ekyir no obenya enyimpa Asen nyia ɔdze ne tɛkyerɛma dzɛfɛdzɛfɛw no.", ""
"PRO.28.24", "Obiara a owiawia n’egya anaa ne na, na ɔdɛ, Ɔnnyɛ mbrato, no; Ɔno kor no ara ɔyɛ ɔsɛɛfo nyɛnko.", ""
"PRO.28.25", "Nyia ɔwɔ edzifodzepɛ sunsum no, okenyan mansotwe: Na nyia ɔdze no werɛ hyɛ EWURADZE mu no dze, ɔbɔdɔ seradze.", ""
"PRO.28.26", "Nyia ɔtwer nankasa n’akoma no, ɔkwasea a: Na obiara a ɔnantsew nyansa mu no dze, wɔbɛgye no nkwa.", ""
"PRO.28.27", "Nyia ɔma ɔbɔbɔfo no, onnkehia da: Na nyia ohuntsa n’enyiwa no dze, obenya ndom pii.", ""
"PRO.28.28", "Sɛ emumuyɛfo soɛr a, adasa dze hɔnho suma: Na sɛ wɔhera dze a, nna atseneneefo adɔɔ so.", ""
